"id","restaurant_id","method"
"303","73","Tunai"
"304","73","Visa"
"305","73","Master"
"306","73","Debet"
"307","73","Go-pay"
"308","73","Ovo"
"309","73","Dana"
"310","74","Tunai"
"311","74","Debet"
"312","75","Tunai"
"313","76","Tunai"
"314","76","Visa"
"315","76","Master"
"316","76","Debet"
"317","77","Tunai"
"318","77","Debet"
"319","77","Ovo"
"320","78","Tunai"
"321","78","Debet"
"322","79","Tunai"
"323","79","Debet"
"324","80","Tunai"
"325","81","Tunai"
"326","81","Visa"
"327","81","Master"
"328","81","Debet"
"329","82","Tunai"
"330","82","Visa"
"331","82","Master"
"332","82","Debet"
"333","83","Tunai"
"334","83","Visa"
"335","83","Master"
"336","83","Debet"
"337","83","Go-pay"
"338","83","Ovo"
"339","83","Dana"
"340","84","Tunai"
"341","84","Visa"
"342","84","Master"
"343","84","Debet"
"344","85","Tunai"
"345","85","Go-pay"
"346","85","Ovo"
"347","85","Dana"
"348","86","Tunai"
"349","86","Visa"
"350","86","Master"
"351","86","Debet"
"352","86","Go-pay"
"353","86","Ovo"
"354","87","Tunai"
"355","88","Tunai"
"356","89","Tunai"
"357","89","Visa"
"358","89","Master"
"359","89","Debet"
"360","89","Go-pay"
"361","89","Ovo"
"362","90","Hanya Non-Tunai: Visa"
"363","90","Master"
"364","90","Debet"
"365","90","Go-pay"
"366","90","Ovo"
"367","91","Tunai"
"368","91","Visa"
"369","91","Master"
"370","91","Debet"
"371","91","QRIS"
"372","92","Tunai"
"373","92","Debet"
"374","92","QRIS"
"375","93","Tunai"
"376","93","Visa"
"377","93","Master"
"378","93","Debet"
"379","94","Tunai"
"380","94","Debet"
"381","94","Go-pay"
"382","94","Ovo"
"383","95","Tunai"
"384","95","Visa"
"385","95","Master"
"386","95","Debet"
"387","96","Tunai"
"388","96","Visa"
"389","96","Master"
"390","96","Debet"
"391","96","Ovo"
"392","96","Dana"
"393","97","Tunai"
"394","97","Visa"
"395","97","Master"
"396","97","Debet"
"397","97","Go-pay"
"398","97","Ovo"
"399","98","Tunai"
"400","98","Visa"
"401","98","Master"
"402","98","Debet"
"403","99","Tunai"
"404","100","Tunai"
"405","101","Tunai"
"406","101","Debet"
"407","101","Go-pay"
"408","101","Ovo"
"409","101","Dana"
"410","102","Tunai"
"411","103","Tunai"
"412","104","Tunai"
"413","105","Tunai"
"414","105","Visa"
"415","105","Master"
"416","105","Debet"
"417","106","Tunai"
"418","106","Debet"
"419","107","Tunai"
"420","107","Debet"
"421","108","Tunai"
"422","108","Debet"
"423","108","Go-pay"
"424","108","Ovo"
"425","108","Dana"
"426","109","Tunai"
"427","109","Visa"
"428","109","Master"
"429","109","Debet"
"430","110","Tunai"
"431","110","Visa"
"432","110","Master"
"433","110","Debet"
"434","110","Go-pay"
"435","110","Ovo"
"436","110","Dana"
"437","111","Tunai"
"438","111","Debet"
"439","113","Tunai"
"440","113","Visa"
"441","113","Master"
"442","113","Debet"
"443","113","Go-pay"
"444","113","Ovo"
"445","113","Dana"
"446","114","Tunai"
"447","114","Visa"
"448","114","Master"
"449","114","Debet"
"450","115","Tunai"
"451","115","Debet"
"452","116","Tunai"
"453","116","Visa"
"454","116","Master"
"455","116","Debet"
"456","117","Tunai"
"457","117","Visa"
"458","117","Master"
"459","117","Debet"
"460","118","Tunai"
"461","118","Visa"
"462","118","Master"
"463","118","Debet"
"464","119","Tunai"
"465","119","Visa"
"466","119","Master"
"467","119","Debet"
"468","120","Tunai"
"469","120","Debet"
"470","121","Tunai"
"471","121","Debet"
"472","121","Go-pay"
"473","121","Ovo"
"474","121","Dana"
"475","122","Tunai"
"476","122","Visa"
"477","122","Master"
"478","122","Debet"
"479","122","Go-pay"
"480","122","Ovo"
"481","122","Dana"
"482","123","Tunai"
"483","123","Visa"
"484","123","Master"
"485","123","Debet"
"486","124","Tunai"
"487","124","Visa"
"488","124","Master"
"489","124","Debet"
"490","125","Tunai"
"491","125","Visa"
"492","125","Master"
"493","125","Debet"
"494","125","Go-pay"
"495","125","Ovo"
"496","125","Dana"
"497","126","Tunai"
"498","126","Visa"
